absence_id,employee_id,annee,mois,date_debut,date_fin,nb_jours,motif,justifiee,departement
16054,2126,2023,10,2023-10-04,2023-10-23,20,Maladie,Oui,Opérations
15689,2665,2022,10,2022-10-14,2022-10-15,2,Enfant malade,Oui,Direction
14535,2068,2022,11,2022-11-09,2022-11-22,14,Absence injustifiée,Non,R&D
11340,2575,2022,12,2022-12-03,2022-12-06,4,RTT,Oui,Commercial
14236,2939,2023,7,2023-07-04,2023-07-04,1,Maladie,Oui,R&D
10787,3271,2023,5,2023-05-05,2023-05-19,15,Maternité/Paternité,Oui,Finance
15259,1626,2024,9,2024-09-07,2024-09-23,17,Accident du travail,Oui,Commercial
13813,3251,2023,5,2023-05-25,2023-06-13,20,RTT,Oui,R&D
11153,1721,2023,6,2023-06-22,2023-07-07,16,Accident du travail,Oui,Juridique
10308,3356,2023,3,2023-03-18,2023-03-26,9,Maladie,Oui,Finance
13327,1880,2022,11,2022-11-24,2022-12-04,11,Formation,Oui,Operations
12918,2865,2024,8,2024-08-17,2024-09-06,21,Congé sans solde,Oui,Marketing
12726,1298,2023,10,2023-10-10,2023-10-27,18,Congé payé,Oui,R&D
11165,2469,2023,3,2023-03-09,2023-03-29,21,Maladie,Oui,Logistique
12036,1866,2024,1,2024-01-17,2024-02-01,16,Maladie,Oui,Informatique
15351,1327,2024,7,2024-07-28,2024-08-16,20,Maladie,Oui,RH
13027,2651,2023,6,2023-06-21,2023-06-25,5,Congé payé,Oui,R&D
15282,2705,2022,4,2022-04-08,2022-04-11,4,RTT,Oui,Logistique
11253,2135,2023,2,2023-02-28,2023-03-18,19,Accident du travail,Oui,Finance
11537,2806,2023,8,2023-08-03,2023-08-16,14,RTT,Oui,Direction
15238,1300,2022,9,2022-09-18,2022-10-07,20,paid leave,Oui,Commercial
11120,2976,2024,5,2024-05-28,2024-05-28,1,sick leave,Oui,RH
14702,2393,2024,11,2024-11-14,2024-11-26,13,Congé sans solde,Oui,Logistique
13740,3315,2024,8,2024-08-19,2024-09-06,19,paid leave,Oui,Commercial
12173,1663,2022,10,2022-10-21,2022-11-05,16,paid leave,Oui,Opérations
11055,2068,2022,8,2022-08-12,2022-08-17,6,Congé sans solde,Oui,R&D
13007,1949,2024,11,2024-11-16,2024-11-28,13,paid leave,Oui,Marketing
12913,1616,2024,1,2024-01-17,2024-02-06,21,Maternité/Paternité,Oui,Finance
10175,3152,2024,6,2024-06-09,2024-06-25,17,RTT,Oui,Informatique
11631,2040,2023,7,2023-07-25,2023-08-08,15,Maternité/Paternité,Oui,Opérations
14298,3149,2023,3,2023-03-25,2023-04-11,18,Maladie,Oui,Direction
13745,2404,2024,8,2024-08-17,2024-09-06,21,Absence injustifiée,Non,R&D
11893,1824,2024,10,2024-10-28,2024-11-02,6,Congé payé,Oui,Marketing
14494,2971,2024,6,2024-06-13,2024-06-18,6,RTT,Oui,Opérations
10571,2523,2024,7,2024-07-16,2024-07-30,15,Enfant malade,Oui,Marketing
13001,3148,2022,12,2022-12-13,2023-01-02,21,Congé payé,Oui,R&D
12062,2632,2022,1,2022-01-08,2022-01-19,12,Enfant malade,Oui,Logistique
13638,1177,2024,8,2024-08-19,2024-08-24,6,RTT,Oui,RH
10886,1707,2022,11,2022-11-03,2022-11-04,2,Maternité/Paternité,Oui,Opérations
11056,3184,2024,5,2024-05-26,2024-06-04,10,Congé payé,Oui,Juridique
10079,2193,2023,10,2023-10-24,2023-10-24,-1,Enfant malade,Oui,Marketing
12360,1399,2024,2,2024-02-09,2024-02-22,14,RTT,Oui,Juridique
15185,1711,2023,9,2023-09-28,2023-10-13,16,Maladie,Oui,R&D
10776,3136,2022,5,2022-05-23,2022-06-03,12,Maternité/Paternité,Oui,Finance
14331,1340,2022,4,2022-04-21,2022-04-29,9,Congé payé,Oui,RH
12636,2949,2022,2,2022-02-24,2022-03-08,13,Maladie,Oui,Opérations
13660,1636,2024,2,2024-02-26,2024-03-06,10,RTT,Oui,Marketing
11950,1633,2023,8,2023-08-13,2023-08-15,3,Absence injustifiée,Non,Opérations
13545,2721,2022,1,2022-01-07,2022-01-12,6,Maladie,Oui,Opérations
11692,1721,2023,8,2023-08-24,2023-08-28,5,Enfant malade,Oui,Juridique
13194,1212,2022,1,2022-01-01,2022-01-19,19,Absence injustifiée,Non,R&D
13035,3056,2024,1,2024-01-25,2024-01-25,1,Accident du travail,Oui,Marketing
11472,1402,2024,6,2024-06-18,2024-06-20,3,sick leave,Oui,Logistique
11554,1124,2024,6,2024-06-25,2024-06-29,5,paid leave,Oui,Finance
13697,3287,2023,11,2023-11-20,2023-12-01,12,Congé payé,Oui,Commercial
11082,1501,2024,1,2024-01-28,2024-02-09,13,Congé payé,Oui,R&D
14469,1679,2023,12,2023-12-18,2024-01-07,21,sick leave,Oui,Finance
10203,2595,2023,1,2023-01-22,2023-02-06,16,Enfant malade,Oui,Opérations
14803,3156,2024,8,2024-08-15,2024-08-18,4,Formation,Oui,Informatique
14887,1311,2024,8,2024-08-15,2024-08-28,14,Congé payé,Oui,Opérations
15242,1796,2023,6,2023-06-03,2023-06-06,4,sick leave,Oui,Marketing
11241,2651,2023,4,2023-04-06,2023-04-09,4,Maternité/Paternité,Oui,R&D
12120,1949,2024,2,2024-02-11,2024-02-19,9,Formation,Oui,Marketing
10560,3172,2024,2,2024-02-09,2024-02-12,4,paid leave,Oui,Marketing
11258,1371,2022,5,2022-05-14,2022-05-16,3,Enfant malade,Oui,Commercial
10367,2673,2024,4,2024-04-06,2024-04-08,3,RTT,Oui,Logistique
10854,1402,2023,10,2023-10-10,2023-10-11,2,Congé sans solde,Oui,Logistique
16017,3316,2022,12,2022-12-09,2022-12-22,14,Maladie,Oui,RH
10947,3288,2022,4,2022-04-01,2022-04-04,4,Congé payé,Oui,RH
14381,2129,2023,2,2023-02-26,2023-03-11,14,Maladie,Oui,Informatique
13938,1225,2024,8,2024-08-07,2024-08-26,20,Congé payé,Oui,R&D
14621,2061,2024,11,2024-11-12,2024-11-16,5,Formation,Oui,Direction
15301,1266,2023,3,2023-03-03,2023-03-07,5,Congé payé,Oui,RH
13627,3028,2024,2,2024-02-07,2024-02-12,6,Congé payé,Oui,Finance
15584,3106,2022,10,2022-10-21,2022-10-29,9,Maternité/Paternité,Oui,R&D
13156,1256,2022,3,2022-03-11,2022-03-20,10,Enfant malade,Oui,Logistique
15956,1898,2024,2,2024-02-12,2024-02-13,2,Maladie,Oui,Opérations
13178,1393,2024,7,2024-07-17,2024-07-18,2,Maternité/Paternité,Oui,Logistique
14895,3179,2024,12,2024-12-09,2024-12-09,1,Maladie,Oui,Direction
13849,2822,2022,9,2022-09-26,2022-10-14,19,RTT,Oui,Marketing
14652,1488,2023,1,2023-01-12,2023-01-21,10,paid leave,Oui,Finance
11170,1619,2024,9,2024-09-12,2024-09-18,7,Congé payé,Oui,Opérations
12945,2171,2024,2,2024-02-24,2024-02-29,6,Congé payé,Oui,Juridique
13914,2120,2022,10,2022-10-04,2022-10-20,17,Maternité/Paternité,Oui,RH
13416,2404,2024,3,2024-03-05,2024-03-11,7,Enfant malade,Oui,R&D
12491,2930,2023,9,2023-09-13,2023-09-19,7,Congé payé,Oui,Logistique
15269,3327,2024,10,2024-10-23,2024-11-10,19,Maladie,Oui,Commercial
12532,1232,2024,9,2024-09-14,2024-09-30,17,Enfant malade,Oui,Marketing
16027,1024,2022,8,2022-08-27,2022-09-03,8,Maladie,Oui,Juridique
14754,2442,2023,4,2023-04-20,2023-04-24,5,Formation,Oui,Logistique
15630,1024,2024,3,2024-03-17,2024-04-06,21,Congé payé,Oui,Juridique
11117,3263,2023,4,2023-04-28,2023-05-02,5,Maladie,Oui,Informatique
13612,2189,2022,1,2022-01-01,2022-01-06,6,Maternité/Paternité,Oui,RH
16085,2956,2022,2,2022-02-18,2022-03-03,14,Maladie,Oui,Informatique
14035,2874,2024,4,2024-04-25,2024-05-14,20,Accident du travail,Oui,Commercial
14160,1255,2023,9,2023-09-18,2023-09-28,11,Formation,Oui,R&D
15083,1147,2024,1,2024-01-27,2024-02-09,14,Maladie,Oui,Direction
13063,1957,2022,2,2022-02-25,2022-03-10,14,paid leave,Oui,Finance
12286,2469,2022,5,2022-05-20,2022-05-25,6,Accident du travail,Oui,Logistique
10995,2040,2024,4,2024-04-13,2024-04-13,1,Congé payé,Oui,Opérations
10140,1959,2022,6,2022-06-03,2022-06-23,21,Maladie,Oui,Commercial
10370,1290,2023,5,2023-05-07,2023-05-13,7,RTT,Oui,Informatique
10318,1756,2023,12,2023-12-02,2023-12-02,1,Maternité/Paternité,Oui,Finance
10570,3153,2022,2,2022-02-13,2022-02-22,10,Congé sans solde,Oui,Direction
12656,1217,2023,9,2023-09-10,2023-09-27,18,Enfant malade,Oui,Direction
14897,1255,2024,12,2024-12-12,2024-12-16,5,Congé payé,Oui,R&D
14675,2221,2022,8,2022-08-24,2022-08-29,6,sick leave,Oui,R&D
13078,1765,2024,12,2024-12-16,2025-01-01,17,Absence injustifiée,Non,Commercial
15078,1402,2022,3,2022-03-15,2022-03-31,17,Accident du travail,Oui,Logistique
13198,1327,2024,8,2024-08-02,2024-08-10,9,Absence injustifiée,Non,RH
13765,2295,2023,8,2023-08-26,2023-09-02,8,paid leave,Oui,Informatique
14121,2289,2023,3,2023-03-09,2023-03-29,21,Maternité/Paternité,Oui,Marketing
10955,3062,2024,12,2024-12-10,2024-12-15,6,RTT,Oui,Informatique
10158,1229,2022,7,2022-07-18,2022-08-05,19,sick leave,Oui,Informatique
14452,1271,2022,2,2022-02-23,2022-02-23,1,Maladie,Oui,Juridique
14989,2448,2023,7,2023-07-25,2023-08-14,21,Absence injustifiée,Non,Logistique
13133,3392,2023,2,2023-02-08,2023-02-24,17,paid leave,Oui,Marketing
11026,1749,2022,4,2022-04-01,2022-04-12,12,RTT,Oui,Logistique
10106,2414,2023,3,2023-03-24,2023-03-24,1,Maternité/Paternité,Oui,Finance
15939,2976,2022,10,2022-10-14,2022-10-17,4,sick leave,Oui,RH
11466,3152,2023,10,2023-10-08,2023-10-13,6,Congé payé,Oui,Informatique
10232,2715,2022,3,2022-03-12,2022-03-16,5,Maladie,Oui,Direction
14420,2428,2022,4,2022-04-01,2022-04-15,15,Enfant malade,Oui,Juridique
13734,1403,2023,1,2023-01-03,2023-01-14,12,Maladie,Oui,Opérations
11269,2988,2024,10,2024-10-20,2024-10-20,1,RTT,Oui,RH
11691,1782,2023,8,2023-08-19,2023-08-23,5,Maladie,Oui,Juridique
12600,1843,2022,1,2022-01-19,2022-01-24,6,Accident du travail,Oui,Opérations
14217,2765,2023,2,2023-02-21,2023-03-08,16,Formation,Oui,RH
10138,3293,2024,9,2024-09-14,2024-09-28,15,Formation,Oui,Finance
12146,1877,2024,3,2024-03-11,2024-03-18,8,Maladie,Oui,R&D
10834,2009,2023,1,2023-01-21,2023-02-05,16,Maternité/Paternité,Oui,Finance
12881,1596,2024,3,2024-03-27,2024-03-28,2,Congé payé,Oui,R&D
12216,2134,2024,9,2024-09-28,2024-10-11,14,Maladie,Oui,Direction
14529,1957,2023,4,2023-04-09,2023-04-22,14,RTT,Oui,Finance
10994,2988,2022,3,2022-03-07,2022-03-25,19,Congé sans solde,Oui,RH
11883,1770,2022,10,2022-10-07,2022-10-18,12,Accident du travail,Oui,R&D
15867,1345,2023,8,2023-08-13,2023-08-25,13,Maladie,Oui,Informatique
11001,3179,2022,1,2022-01-25,2022-02-12,19,Absence injustifiée,Non,Direction
14316,1214,2022,6,2022-06-27,2022-07-09,13,RTT,Oui,R&D
14914,1127,2024,9,2024-09-05,2024-09-11,7,Accident du travail,Oui,Marketing
12316,1127,2024,4,2024-04-27,2024-05-09,13,Maladie,Oui,Marketing
15240,2565,2024,10,2024-10-22,2024-11-06,16,Maladie,Oui,Informatique
14669,1754,2024,10,2024-10-22,2024-10-26,5,RTT,Oui,Finance
13968,1347,2023,9,2023-09-22,2023-10-11,20,RTT,Oui,Marketing
10097,1937,2024,4,2024-04-20,2024-04-22,3,Maladie,Oui,Informatique
12455,1063,2024,3,2024-03-08,2024-03-09,2,Enfant malade,Oui,Finance
11503,2648,2022,11,2022-11-10,2022-11-10,1,Formation,Oui,Direction
13977,1427,2024,10,2024-10-16,2024-10-17,2,RTT,Oui,Legal
12066,1735,2022,11,2022-11-12,2022-11-12,1,Enfant malade,Oui,Juridique
14520,1735,2024,7,2024-07-08,2024-07-16,9,Maladie,Oui,Juridique
14403,2705,2023,9,2023-09-19,2023-09-24,6,sick leave,Oui,Logistique
10299,2475,2024,11,2024-11-10,2024-11-19,10,Absence injustifiée,Non,R&D
11839,1298,2024,6,2024-06-02,2024-06-03,2,paid leave,Oui,R&D
13508,2157,2022,5,2022-05-03,2022-05-09,7,Maladie,Oui,Logistique
15700,3289,2024,10,2024-10-06,2024-10-24,19,Maternité/Paternité,Oui,Marketing
12889,1711,2024,11,2024-11-06,2024-11-14,9,Maternité/Paternité,Oui,R&D
12530,3392,2024,8,2024-08-13,2024-08-31,19,Formation,Oui,Marketing
10154,2705,2022,5,2022-05-07,2022-05-17,11,Accident du travail,Oui,Logistique
13744,2488,2024,5,2024-05-19,2024-06-03,16,RTT,Oui,Finance
11090,3321,2023,2,2023-02-14,2023-03-02,17,Absence injustifiée,Non,Juridique
13246,2058,2023,2,2023-02-02,2023-02-13,12,Maladie,Oui,Juridique
13072,2414,2023,7,2023-07-13,2023-08-01,20,Maladie,Oui,Finance
13135,2776,2024,12,2024-12-27,2024-12-30,4,Enfant malade,Oui,Juridique
11723,2844,2024,2,2024-02-06,2024-02-12,7,Congé payé,Oui,Commercial
12006,1527,2022,10,2022-10-24,2022-10-28,5,paid leave,Oui,Informatique
14088,1212,2022,4,2022-04-18,2022-04-20,3,RTT,Oui,R&D
15192,1843,2022,9,2022-09-06,2022-09-22,17,Formation,Oui,Opérations
11934,3065,2023,7,2023-07-16,2023-07-20,5,Maladie,Oui,RH
12040,2046,2023,6,2023-06-16,2023-07-03,18,Congé payé,Oui,Direction
10964,1524,2024,11,2024-11-28,2024-11-30,3,Congé payé,Oui,Marketing
11907,2040,2022,7,2022-07-19,2022-07-27,9,Absence injustifiée,Non,Opérations
14679,3293,2023,8,2023-08-22,2023-08-25,4,Congé payé,Oui,Finance
13972,2442,2024,8,2024-08-14,2024-08-25,12,Congé payé,Oui,Logistique
13239,3327,2023,7,2023-07-06,2023-07-11,6,Maladie,Oui,Commercial
12424,1063,2022,9,2022-09-17,2022-09-18,2,Formation,Oui,Finance
10046,2573,2022,12,2022-12-28,2022-12-21,-8,Congé payé,Oui,RH
14242,2625,2022,7,2022-07-27,2022-08-03,8,Congé payé,Oui,Commercial
15074,1596,2024,5,2024-05-12,2024-05-19,8,sick leave,Oui,R&D
10384,1402,2024,8,2024-08-08,2024-08-09,2,Formation,Oui,Logistique
13671,1482,2022,8,2022-08-05,2022-08-06,2,sick leave,Oui,Juridique
12436,2038,2022,12,2022-12-16,2023-01-05,21,Congé payé,Oui,Informatique
12386,2690,2022,1,2022-01-14,2022-01-29,16,Maternité/Paternité,Oui,Commercial
13818,1679,2022,9,2022-09-18,2022-09-23,6,Accident du travail,Oui,Finance
12982,2776,2024,2,2024-02-25,2024-03-04,9,Maladie,Oui,Juridique
14831,2150,2024,8,2024-08-08,2024-08-23,16,Congé payé,Oui,Finance
15537,1449,2023,5,2023-05-05,2023-05-15,11,Maternité/Paternité,Oui,Juridique
12874,1138,2023,6,2023-06-26,2023-07-06,11,Maladie,Oui,Juridique
13445,3324,2022,4,2022-04-17,2022-04-30,14,Congé payé,Oui,R&D
14368,1543,2024,5,2024-05-26,2024-06-11,17,Enfant malade,Oui,Finance
12573,2712,2023,3,2023-03-01,2023-03-03,3,Formation,Oui,Logistique
13242,3281,2024,10,2024-10-12,2024-10-12,1,Formation,Oui,Finance
10673,3065,2023,2,2023-02-10,2023-02-14,5,Absence injustifiée,Non,RH
11401,2495,2024,2,2024-02-17,2024-02-25,9,Congé payé,Oui,Juridique
16093,2370,2022,7,2022-07-14,2022-07-14,1,Congé payé,Oui,Informatique
13935,2138,2023,11,2023-11-17,2023-12-01,15,RTT,Oui,Direction
15512,1177,2023,11,2023-11-16,2023-11-27,12,Maladie,Oui,RH
15649,1655,2024,11,2024-11-25,2024-11-27,3,Accident du travail,Oui,Commercial
11468,2909,2023,7,2023-07-08,2023-07-08,1,RTT,Oui,RH
10601,2138,2022,7,2022-07-26,2022-08-12,18,RTT,Oui,Direction
12203,1194,2023,5,2023-05-20,2023-06-09,21,Congé payé,Oui,R&D
13741,2155,2022,6,2022-06-24,2022-07-03,10,Congé payé,Oui,Informatique
11246,3362,2023,3,2023-03-20,2023-03-31,12,Maladie,Oui,Marketing
15369,2764,2022,6,2022-06-09,2022-06-16,8,RTT,Oui,Opérations
16137,1596,2022,3,2022-03-25,2022-03-29,-4,paid leave,Oui,R&D
15792,1409,2023,8,2023-08-20,2023-08-27,8,Congé payé,Oui,Logistique
12614,3154,2024,9,2024-09-14,2024-09-25,12,RTT,Oui,R&D
14429,1127,2022,10,2022-10-14,2022-10-20,7,Enfant malade,Oui,Marketing
10164,1866,2022,7,2022-07-03,2022-07-16,14,Congé sans solde,Oui,Informatique
14891,2221,2023,7,2023-07-11,2023-07-26,16,Maladie,Oui,R&D
15099,2046,2022,9,2022-09-23,2022-09-26,4,Enfant malade,Oui,Direction
11318,3189,2022,2,2022-02-21,2022-03-10,18,sick leave,Oui,Finance
11633,1015,2024,6,2024-06-03,2024-06-18,16,Absence injustifiée,Non,Logistique
15696,3295,2022,6,2022-06-24,2022-06-27,4,Maladie,Oui,RH
15733,2317,2024,1,2024-01-02,2024-01-07,6,Congé payé,Oui,Opérations
11761,1609,2023,6,2023-06-02,2023-06-15,14,RTT,Oui,Direction
11339,2721,2023,10,2023-10-23,2023-11-01,10,RTT,Oui,Opérations
13936,2193,2023,11,2023-11-24,2023-12-03,10,Absence injustifiée,Non,Marketing
13070,3117,2023,11,2023-11-11,2023-11-11,1,Maternité/Paternité,Oui,Commercial
14677,2173,2024,11,2024-11-26,2024-12-02,7,Congé payé,Oui,Direction
14654,1880,2022,9,2022-09-05,2022-09-17,13,Congé payé,Oui,Operations
13799,1752,2022,8,2022-08-07,2022-08-26,20,Maladie,Oui,Juridique
12961,1481,2023,11,2023-11-07,2023-11-09,3,Maladie,Oui,Marketing
11447,3061,2022,1,2022-01-11,2022-01-29,19,Maladie,Oui,R&D
12124,1399,2024,1,2024-01-21,2024-02-02,13,Congé payé,Oui,Juridique
11960,2535,2023,9,2023-09-10,2023-09-26,17,RTT,Oui,Direction
15155,1225,2024,6,2024-06-27,2024-07-02,6,paid leave,Oui,R&D
10565,1971,2022,11,2022-11-23,2022-11-23,1,RTT,Oui,Logistique
11275,2754,2022,2,2022-02-04,2022-02-17,14,Absence injustifiée,Non,Opérations
11530,2187,2022,3,2022-03-15,2022-03-27,13,sick leave,Oui,RH
11660,2911,2022,7,2022-07-24,2022-07-25,2,sick leave,Oui,Direction
14753,2122,2023,4,2023-04-12,2023-04-14,3,Formation,Oui,Management
12956,2009,2024,2,2024-02-27,2024-02-28,2,Maladie,Oui,Finance
10072,2712,2022,1,2022-01-16,2022-01-17,-2,RTT,Oui,Logistique
10783,1880,2024,6,2024-06-23,2024-07-08,16,Maladie,Oui,Operations
15561,2874,2022,8,2022-08-24,2022-08-24,1,Formation,Oui,Commercial
10287,1928,2023,10,2023-10-26,2023-10-28,3,RTT,Oui,Informatique
12804,1684,2023,7,2023-07-18,2023-07-29,12,Maladie,Oui,R&D
11629,3065,2023,2,2023-02-20,2023-03-12,21,Congé sans solde,Oui,RH
12640,3024,2024,7,2024-07-01,2024-07-10,10,Congé payé,Oui,RH
15230,3256,2023,9,2023-09-21,2023-10-03,13,Accident du travail,Oui,Opérations
13670,2400,2022,3,2022-03-10,2022-03-25,16,Congé payé,Oui,Finance
14855,3096,2022,7,2022-07-08,2022-07-25,18,Congé payé,Oui,Logistique
11720,3274,2024,4,2024-04-02,2024-04-05,4,Maladie,Oui,Marketing
14857,1635,2023,10,2023-10-27,2023-11-06,11,Maladie,Oui,Informatique
14912,2038,2022,7,2022-07-04,2022-07-10,7,RTT,Oui,Informatique
15741,1744,2024,7,2024-07-11,2024-07-19,9,Congé sans solde,Oui,Direction
10552,2810,2023,12,2023-12-19,2023-12-21,3,paid leave,Oui,RH
12619,1425,2024,8,2024-08-27,2024-09-06,11,Maladie,Oui,Juridique
10980,2150,2023,3,2023-03-26,2023-04-14,20,Maternité/Paternité,Oui,Finance
14928,3394,2022,2,2022-02-17,2022-02-21,5,Maladie,Oui,Commercial
13956,2120,2024,11,2024-11-04,2024-11-19,16,Accident du travail,Oui,RH
11938,1093,2022,12,2022-12-12,2022-12-31,20,paid leave,Oui,Juridique
12897,2502,2024,4,2024-04-01,2024-04-21,21,sick leave,Oui,RH
12001,3271,2023,10,2023-10-18,2023-11-05,19,paid leave,Oui,Finance
13777,3263,2022,12,2022-12-02,2022-12-05,4,Maladie,Oui,Informatique
15887,1225,2023,10,2023-10-13,2023-10-17,5,Maladie,Oui,R&D
10755,3398,2023,11,2023-11-20,2023-12-04,15,Maternité/Paternité,Oui,Informatique
13484,1779,2022,6,2022-06-09,2022-06-18,10,Maladie,Oui,R&D
11524,1044,2023,9,2023-09-18,2023-09-21,4,Maternité/Paternité,Oui,Marketing
13372,1374,2023,7,2023-07-03,2023-07-18,16,Enfant malade,Oui,Marketing
13195,1662,2022,6,2022-06-07,2022-06-17,11,Accident du travail,Oui,Direction
15458,2853,2022,6,2022-06-25,2022-07-03,9,Maladie,Oui,RH
11814,2189,2024,7,2024-07-25,2024-07-26,2,Maladie,Oui,RH
13861,1256,2024,11,2024-11-21,2024-11-25,5,Congé sans solde,Oui,Logistique
15355,2122,2024,12,2024-12-21,2024-12-30,10,Congé payé,Oui,Management
12515,1320,2023,12,2023-12-11,2023-12-21,11,sick leave,Oui,Commercial
15391,3029,2023,4,2023-04-25,2023-05-14,20,RTT,Oui,Commercial
10656,1374,2023,7,2023-07-12,2023-07-29,18,Absence injustifiée,Non,Marketing
15932,2909,2023,2,2023-02-07,2023-02-27,21,Maladie,Oui,RH
11714,1679,2024,12,2024-12-22,2025-01-08,18,paid leave,Oui,Finance
14136,2574,2022,9,2022-09-21,2022-09-22,2,paid leave,Oui,Juridique
11280,2575,2024,12,2024-12-11,2024-12-30,20,Maladie,Oui,Commercial
15200,2930,2023,2,2023-02-07,2023-02-22,16,Absence injustifiée,Non,Logistique
13419,1081,2023,4,2023-04-22,2023-04-30,9,Congé payé,Oui,Juridique
12992,1300,2022,3,2022-03-19,2022-04-08,21,Congé payé,Oui,Commercial
10631,3256,2024,12,2024-12-28,2025-01-01,5,Formation,Oui,Opérations
11214,2632,2024,8,2024-08-15,2024-08-18,4,RTT,Oui,Logistique
